Рыба №	Опыт №	Проба №	Маршрут
4	18	1	НОМЛЛКГ+Г-Г-ЩЦХШШХЦЩГ-ЗССЗГ-КЛЛКЩЦХША+КЛЛИИИИКДСР
4	18	2	НОФХША+ШХХШККА-ШХЦЗССЗГ-ЩЦХША-ШХЦДДА-ШХЦЗСТ
4	18	3	НОМКГ+ЗССЗГ-ЩЦХША+КЛЛККЛЛИООФХША-А-ККДСР
4	19	1	НОФФИКА+ККА-А-КЛБЛКШХЦЩГ+Г-ЩЦХША-ЦСЖЛМИКА-ЛКДСР
4	19	2	НОФХША+ШХЦЩГ+ЩЦФФЦЩГ-КЛЖССТ
4	19	3	НОФХША+КИФФООФЦЩГ+ККЩЦХША-ШХЦЩФООФЦЩГ-ККГ-Г-Г-ЗСЖЛКГ-ЗСТ
4	19	4	НОФЦЦХША+ККШХЦЩГ+КЛЛМИКДДА-А-КЛДССР
4	20	1	НОФХША+ДСЕБЛКШХЦЦФФЦЩГ+ЗСТ
4	20	2	НОФХША+ШХЦЦХХЦЩГ+ЩЦХШДСР
4	20	3	ПОФХША+А-ШХЦЩГ+КЛЛКЩЦХХЦЩККЩЦХХЦЩГ-ЗСТ
4	20	4	ПОФХША+ШХЦЩГ+КМИШХХШДССДШХЦЩГ+ЗССЗГ-ЩЦХША-ККШХЦЩЗЗЦХША-ДСЕЛЛЕР
4	20	5	НОФЦЩГ+ЗСЖЛМИКА+КЛЕР
4	20	6	ПОФХША+ШХЦЩГ+ККГ-ЩЦХША-ККА-ШХЦЩКЛЖТ
4	21	1	НОФХША+А-ДСЕЛКШХФООФЦЩГ+ЩЦХХЦЩГ-КЛМИЛЕР
4	21	2	ПОФЦЩГ+ЗСТ
4	21	3	ПОФХША+ШХХША-ШХЦЩГ+ЗСТТЖЛКЗСТ
4	21	4	ПОФЦЩГ+ЩЦХША+ШХХШККДССДШХФФХШДСР
4	21	5	НОФФИКШХЦЦЦЩКЛЖТ
4	21	6	НОФХША+ККШХЦГ+ЩЦЦЩГ-КЛЖССТ
4	22	1	НОФИИИКА+ДССДШША-ШША-ШХЦЩГ+КЛЖТ
4	22	2	ПОФХШШХЦЩКЛЛКЩЦХША+ШХЦЩГ+ККГ-ЩЦХШДСР
4	22	3	ПОФЦЩККЩЦХША+ШХЦЩГ+КЛЖТ
4	22	4	ПОФЦЦХША+ШХЦЗССЗЩЦХША+ШХЦЩГ+КЛЛКЩЦХШКЛБЕР
4	22	5	ПОЦЩКМИКДДА+ККШХЦЦХША-КА-А-ДДА-ШХЦКЛЖТ
4	23	1	ПОФХША+ШХЦЩГ+ЗСТ
4	23	2	ПОФФМММКГ+ЩЦХША+ШХЩКММЛЖТ
4	23	3	НОФЦЩГ+ЩЦХША+ШХЦЩЗСТТЖЛЛЖТ
4	23	4	ПОФЦЦХША+А-ККА-А-А-ШХЦЩГ+ЗССЗЩЦХША-ШХГ-ЩЦХША-ШХЦЩГ-ЗССЗЩЦХХЦЩКЛЖТ
4	24	1	НОФХША+ШХЦЦХША-ШХЦЦХШДДШХЦЩЗССЖЛКГ+КЩЦХША-ШХЦЩЗСЛЛЖТ
4	24	2	НОФФИКА+ШХЦЩГ+ЩЦХША-ШХЦКЛЖТ
4	24	3	ПОФХША+ШХХШККДССДККШХЦЦХШКЛЕСДЩХЦЗССЗГ+ЩЦХШКЛЕР
4	24	4	ПОФХША+ШХЦЩГ+ЩЦХШККШХЦЗССЗЩЦХШКККЛЕР
4	24	5	НОФХШШХЦЩЗССЗГ+ЗСЖЛКЩЦХХХША+ШХХША-ДСР
4	24	6	ПОФХША+КИФЦЦХШДСР
4	24	7	ПОФФООФФХША+ДСР
4	24	8	НОФФООМКГ+КМИЛЕССР
4	25	1	НОМЛЛМООИИКА+КИКДССДШХЦЩГ+ККГ-ЩЦШДСР
4	25	2	ПОФЦЩГ+ЩЦХША+ДСР
4	25	3	НОФХША+ККШХЦГ+КЛЖТ
4	25	4	НОММФХША+КЛЛМШХХШДДШХЦЩГ+ЦХДДШШДДШХХШККШХЦЩКЛЖТ
4	25	5	НОФФИККИММММФЦЩКММОФЦЩГ+ЩЦХШКЛЕР
4	26	1	ПОФЦЩГ+ККГ-ЩЦХША+ШХЦЩКМООФХША-КЛЕР
4	26	2	ПОФХШККА+ШХЦЩККЩЦХХЦЗССЗЩЦХШДСР
4	26	3	НОФЦЦХША+КЛЕСДА-А-А-КЛБББЕССР
4	26	4	НОМЛВЖЖЛКГ+ЩЦХША+ДСЕЛЛЕР
4	26	5	НОМККМФЦЩГ+ЩЦХША+КИИКЛЖТ
4	26	6	НОФХХЦЩГ+КЛЛМООЦЩЗССЗКГ-ЩЦХША+КЛЕР
4	26	7	ПОМККММЛЖСЗККЩЦХХЦЩЗСЖЛЛЖТ
5	4	1	НОФХХХША+ККА-ШХЦЩГ+ЗСССССЗЩЦХХФФЦЦЩГ-ККЩЦХХЦЩЗССЗЩЦЦЩЩКЛЖССССССССССЗЩЦХША-КЛБЛКЛЛКЩЦХША-КЛЛКЩЦХША-КЛЛККЛБЛККЛЛККЛЛККЛЕР
5	4	2	НОМММЛКГ+ЩЦФФЦЩЩЦХХЦЩЗЗЩЦХХЦЩЗЗЩЦХША+ККШХЦЩЗЗЩУЦЩЗЗЩЦХХЦЩЗССССССССССЗЩЦЦЩЗЗЩЦЦЩЩЗСССТ
5	5	1	ПОМЛКГ+КЛЛКЗССЗЦФФЦЦФООМММЛЛКЦЦЗЗЦЦКЛЖТ
5	5	2	НОООФЦЦХША+КЛЛКШХЦЩГ+КЛЛКЗСТТССТ
5	5	3	ПОМЛВЛКГ+ЗССЗЦХША+КЛЛКА-КЛЛКЛЛКА-ШХХХЦЦФФФФХХФФЦЦФФХХФФЦЩККЗССССЗККЦХХЦЦХХФФХХФФХШКЛЛКККШХФФЦЩККЗСТ
5	6	1	НОМЛВЛКГ+ЩЩЗСТ
5	6	2	ПОИЛЕРРСССДА+ШХЦЦФООИЛЕССРРСР
5	6	3	ПОМММООФФЦЩГ+ККЗСЖВЛЛЛКЗСТ
5	6	4	НОФФИИЛККЛБЛЛЛЛЛЛЛИИИИИИИИИИИИИФХША+ШШШХЦЦХШДДШХХША-ДСССЕЛИИИИИИИКШХХШДДШХЦЦЦЩГ+КЛЛКЗССЗККГ-ЗСТ
5	7	1	НОФХША+ККШХЦЩГ-КЛВЛЛЛМММООФЦЦЦХША-ДДА-ДСЕЛИИЛЕССЕЕР
5	7	2	НОФХША+ДСЕЛЛЕСДДСССЕЛИИИИИФХХЦЩГ+ЩЩЩЦЦЩКГ-ЗСТ
